      ra          dec            significance
      356.703     -54.6785       3.3764334
      346.685     -51.1187       3.3747857
     0.100586     -58.1032       3.3738406
      353.124     -50.6769       3.3737433
      352.261     -56.8464       3.3733463
      355.070     -52.0013       3.3730247
      349.097     -58.1786       3.3726583
      347.159     -57.0042       3.3708434
      356.423     -51.1287       3.3697801
      353.812     -49.7100       3.3691452
      346.234     -58.9440       3.3669355
      348.901     -56.2996       3.3658733
      355.803     -54.7104       3.3655641
      352.956     -50.6265       3.3634877
      353.822     -57.9556       3.3612356
      353.149     -51.7158       3.3602822
      359.569     -54.9846       3.3596911
      359.925     -58.5792       3.3566358
      359.016     -58.9333       3.3552608
      352.863     -49.6960       3.3542902
      356.594     -57.0361       3.3534703
      345.066     -59.5694       3.3522809
      344.756     -52.5391       3.3504291
      347.583     -56.9125       3.3503242
      352.748     -53.8291       3.3482838
      354.798     -57.6257       3.3482640
      354.200     -56.3661       3.3473103
      354.251     -55.4437       3.3471863
      359.695     -56.1669       3.3464856
      358.375     -56.2136       3.3410015
      345.208     -52.5628       3.3402147
      344.551     -49.9542       3.3397264
      349.491     -51.5327       3.3386281
      359.398     -50.1896       3.3384910
      349.664     -52.4262       3.3370125
      353.053     -50.2158       3.3362758
      359.327     -57.0092       3.3342965
      346.886     -50.8928       3.3342881
      354.189     -59.7777       3.3334613
      353.839     -54.1854       3.3331482
      350.778     -58.9438       3.3322442
      344.656     -51.4807       3.3308651
      357.422     -54.0175       3.3304172
      349.369     -53.1059       3.3303990
      350.500     -60.2096       3.3294332
      357.020     -54.8813       3.3293843
      359.259     -57.4396       3.3292093
      358.077     -59.0654       3.3282609
      359.702     -59.6427       3.3281825
      354.962     -49.6572       3.3279259
      345.385     -50.0721       3.3272176
      356.778     -58.8583       3.3245964
      355.179     -50.7521       3.3245156
      359.532     -50.9922       3.3241551
      357.185     -50.5604       3.3232412
      345.002     -57.9875       3.3231213
      354.417     -58.2212       3.3212967
      345.334     -53.1168       3.3211393
      346.520     -57.4812       3.3203516
      349.392     -50.2268       3.3186390
      357.369     -51.2375       3.3173511
      354.302     -55.6302       3.3165939
      346.822     -53.8971       3.3158076
      348.032     -55.0379       3.3148189
      349.904     -59.8271       3.3135033
      345.944     -49.8958       3.3134594
      344.829     -51.6196       3.3125479
      358.294     -52.1342       3.3120451
      346.203     -59.7528       3.3108640
      355.999     -50.4350       3.3103530
      356.161     -58.8938       3.3085535
      346.503     -51.0617       3.3079309
      358.014     -55.4005       3.3078756
      350.061     -52.2273       3.3069000
      351.893     -54.2637       3.3025956
      346.579     -59.7562       3.3024127
      358.326     -54.5847       3.3021984
      355.187     -53.8278       3.3010836
      354.052     -58.8412       3.3006256
      355.850     -53.3141       3.2991593
      357.813     -51.0009       3.2985160
      351.494     -59.3876       3.2979071
      346.422     -59.5014       3.2971311
      353.262     -52.1001       3.2967849
      355.879     -55.8945       3.2949061
      359.917     -52.5662       3.2942016
      357.599     -53.3138       3.2940128
      358.277     -53.9285       3.2912607
      353.811     -58.8693       3.2904835
      355.988     -50.0219       3.2897029
      359.889     -57.4588       3.2876070
      348.337     -56.8500       3.2872519
      345.189     -56.4653       3.2865629
      346.047     -58.9597       3.2856777
      350.488     -58.7437       3.2849860
      345.267     -57.2830       3.2847221
      353.918     -51.0540       3.2842457
      353.968     -53.9970       3.2821329
      351.078     -51.3079       3.2819614
      353.127     -52.3585       3.2819088
      357.061     -51.6281       3.2812269
      351.995     -51.6732       3.2812154
     0.112244     -52.9658       3.2807548
      352.424     -52.9042       3.2803464
      355.294     -55.5546       3.2798872
      359.473     -53.6013       3.2798433
      352.400     -51.1704       3.2787328
      356.800     -55.9729       3.2775240
      348.516     -55.9042       3.2771294
      356.394     -51.5529       3.2762868
      358.740     -52.3634       3.2757568
      346.331     -59.3834       3.2740324
      350.560     -60.3917       3.2738984
      352.563     -53.3321       3.2731032
      357.081     -54.6271       3.2723508
      347.304     -53.2071       3.2720644
